SeaLevelPressure		Pressure	Temperature		FlightTime	Pressure		Temperature		Altitude
102340		94980	-4.6		0.1	102109.23		-1		17.98350365
		97240	-3.5		0.12	102131.72		-1		16.22877068
		98970	-3.4		0.14	102100.63		-1		18.65462139
		101860	-1.6		0.16	102118.77		-1		17.23910988
		102090	-0.9		0.19	102125.67		-1		16.70076345
		102100	-1		0.21	102135.16		-1		15.96041278
					0.23	102123.95		-1		16.8349559
					0.26	102144.67		-1		15.21858395
					0.28	102123.95		-1		16.8349559
					0.3	102123.06		-1		16.90439375
					0.32	102118.77		-1		17.23910988
					0.34	102129.13		-1		16.43082633
					0.36	102103.22		-1		18.45249862
					0.38	102118.77		-1		17.23910988
					0.4	102110.99		-1		17.84616692
					0.42	102103.22		-1		18.45249862
					0.44	102098.88		-0.9		18.79809901
					0.47	102092.85		-0.9		19.26888445
					0.49	102071.24		-1.6		20.90245046
					0.51	102075.55		-1.6		20.56672933
					0.53	102061.76		-1.6		21.64094053
					0.55	102055.7		-1.6		22.11305608
					0.57	102060.02		-1.6		21.77649505
					0.59	102048.8		-1.6		22.65065401
					0.61	102040.16		-1.6		23.32388113
					0.63	102039.28		-1.6		23.39245436
					0.65	102030.66		-1.6		24.06419759
					0.68	102016.83		-1.6		25.14208918
					0.7	101992.64		-1.6		27.02784342
					0.72	101997.81		-1.6		26.62476648
					0.75	101989.2		-1.6		27.2960551
					0.77	101978.84		-1.6		28.10387391
					0.79	101981.43		-1.6		27.90191005
					0.81	101968.48		-1.6		28.91179041
					0.83	101942.56		-1.6		30.93356941
					0.85	101938.22		-1.6		31.27215239
					0.87	101930.45		-1.6		31.878368
					0.89	101911.47		-1.6		33.35941942
					0.91	101912.31		-1.6		33.29386542
					0.93	101884.67		-1.6		35.4512419
					0.95	101881.22		-1.6		35.7205726
					0.98	101856.19		-3.4		37.42517903
					1	101845.81		-3.4		38.23044224
					1.02	101831.98		-3.4		39.30350254
					1.04	101811.25		-3.4		40.91225404
					1.06	101800.06		-3.4		41.78081595
					1.08	101788.82		-3.4		42.65337323
					1.1	101764.63		-3.4		44.53162355
					1.12	101759.44		-3.4		44.93467415
					1.14	101731.81		-3.4		47.08080632
					1.16	101728.35		-3.4		47.34960718
					1.19	101710.22		-3.4		48.75827053
					1.21	101677.41		-3.4		51.30829937
					1.23	101680		-3.4		51.10696616
					1.25	101661.86		-3.4		52.51720437
					1.28	101642.85		-3.4		53.99539948
					1.3	101640.27		-3.4		54.19604258
					1.32	101623		-3.4		55.53926321
					1.34	101593.63		-3.4		57.82421786
					1.36	101581.55		-3.4		58.76425717
					1.38	101566		-3.4		59.97452022
					1.4	101567.72		-3.4		59.84064104
					1.42	101559.95		-3.4		60.44545386
					1.45	101546.99		-3.4		61.45437616
					1.47	101523.67		-3.4		63.27019957
					1.49	101509		-3.4		64.41274081
					1.51	101498.64		-3.4		65.21972543
					1.53	101490.88		-3.4		65.82424918
					1.55	101448.55		-3.4		69.1228327
					1.57	101451.14		-3.4		68.92095879
					1.59	101417.45		-3.4		71.54735772
					1.61	101394.14		-3.4		73.36516237
					1.63	101365.64		-3.4		75.58837941
					1.65	101344.92		-3.4		77.20516432
					1.67	101323.34		-3.4		78.88947348
					1.7	101281.03		-3.4		82.19298921
					1.72	101277.56		-3.4		82.46399566
					1.75	101247.35		-3.4		84.82385894
					1.77	101229.22		-3.4		86.24049181
					1.79	101215.39		-3.4		87.32133648
					1.81	101180.88		-3.4		90.019135
					1.83	101151.5		-3.4		92.31676207
					1.85	101146.32		-3.4		92.72194002
					1.87	101125.59		-3.4		94.34368124
					1.89	101096.22		-3.4		96.6420211
					1.91	101075.5		-3.4		98.26393615
					1.93	101039.23		-3.4		101.1040232
					1.96	101027.16		-3.4		102.0494218
					1.98	100996.08		-3.4		104.4844228
					2	100992.61		-3.4		104.7563396
					2.02	100967.59		-3.4		106.7172906
					2.04	100932.2		-3.4		109.4919818
					2.06	100917.5		-3.4		110.64485
					2.08	100905.41		-3.4		111.5931751
					2.1	100888.98		-3.4		112.8821414
					2.12	100873.45		-3.4		114.1007307
					2.14	100848.43		-3.4		116.0644394
					2.16	100834.59		-3.4		117.1509287
					2.19	100811.28		-3.4		118.981248
					2.21	100773.31		-3.4		121.9637607
					2.23	100762.06		-3.4		122.8476959
					2.26	100713.75		-3.4		126.6448459
					2.28	100718.91		-3.4		126.2391682
					2.3	100695.6		-3.4		128.0719902
					2.32	100674.88		-3.4		129.7015892
					2.34	100641.2		-3.4		132.3513262
					2.36	100629.96		-3.4		133.2358557
					2.38	100594.59		-3.4		136.0200581
					2.4	100591.11		-3.4		136.2940545
					2.42	100562.61		-3.4		138.5384148
					2.45	100538.45		-3.4		140.4415954
					2.47	100512.55		-3.4		142.4824474
					2.49	100497		-3.4		143.7080473
					2.51	100465.06		-3.4		146.2261613
					2.53	100459.88		-3.4		146.6346365
					2.55	100421.89		-3.4		149.6311506
					2.57	100408.94		-3.4		150.6529082
					2.59	100386.48		-3.4		152.4253788
					2.61	100375.27		-3.4		153.3102123
					2.63	100345.91		-3.4		155.6282285
					2.66	100333.83		-3.4		156.5821972
					2.68	100293.25		-3.4		159.787838
					2.7	100269.94		-3.4		161.6299232
					2.72	100253.54		-3.4		162.9262475
					2.75	100231.95		-3.4		164.6331958
					2.77	100221.59		-3.4		165.4524334
					2.79	100200.01		-3.4		167.1592385
					2.81	100189.66		-3.4		167.9779958
					2.83	100157.71		-3.4		170.5060993
					2.85	100143.03		-3.4		171.6680036
					2.87	100122.28		-3.4		173.3106869
					2.89	100118		-3.4		173.6495654
					2.91	100087.78		-3.4		176.0427923
					2.93	100061.88		-3.4		178.0945879
					2.96	100046.34		-3.4		179.3259687
					2.98	100037.67		-3.4		180.0130736
					3	100004.91		-3.4		182.6099713
					3.02	99998		-3.4		183.1578589
					3.04	99967.78		-3.4		185.554505
					3.06	99958.29		-3.4		186.3073027
					3.08	99929.8		-3.4		188.5677936
					3.1	99916.85		-3.4		189.595543
					3.12	99895.27		-3.4		191.3085464
					3.14	99882.33		-3.4		192.3359247
					3.17	99875.41		-3.4		192.8854069
					3.19	99843.48		-3.4		195.4213935
					3.21	99829.63		-3.4		196.5217066
					3.23	99810.67		-3.4		198.0282784
					3.26	99796.86		-3.4		199.1258428
					3.28	99774.42		-3.4		200.9096711
					3.3	99762.34		-3.4		201.8701473
					3.32	99739.03		-3.4		203.7239076
					3.34	99720.03		-3.4		205.2352907
					3.36	99694.97		-3.4		207.2292497
					3.38	99694.14		-3.4		207.2953009
					3.4	99669.97		-3.4		209.2190292
					3.42	99652.7		-3.4		210.5939158
					3.45	99643.17		-3.4		211.3527326
					3.47	99615.59		-3.4		213.5492496
					3.49	99597.41		-3.4		214.9975308
					3.51	99587.96		-3.4		215.7504746
					3.53	99572.42		-3.4		216.9888337
					3.55	99559.48		-3.4		218.0201782
					3.57	99533.58		-3.4		220.0849407
					3.59	99517.19		-3.4		221.3918911
					3.61	99494.73		-3.4		223.1832838
					3.63	99497.33		-3.4		222.9758851
					3.65	99467.98		-3.4		225.3174717
					3.68	99450.72		-3.4		226.6948842
					3.7	99432.59		-3.4		228.1420324
					3.72	99415.34		-3.4		229.51923
					3.74	99409.28		-3.4		230.003113
					3.77	99381.68		-3.4		232.2073808
					3.79	99365.27		-3.4		233.5183072
					3.81	99351.46		-3.4		234.6217301
					3.83	99336.78		-3.4		235.7948665
					3.85	99317.75		-3.4		237.3159356
					3.87	99304.8		-3.4		238.3512282
					3.89	99293.59		-3.4		239.2475457
					3.91	99270.28		-3.4		241.111728
					3.93	99258.19		-3.4		242.0788128
					3.95	99244.39		-3.4		243.1828527
					3.98	99223.67		-3.4		244.8408558
					4	99204.72		-3.4		246.3575853
					4.02	99175.39		-3.4		248.7057943
					4.04	99171.89		-3.4		248.9860654
					4.06	99152.03		-3.4		250.5766266
					4.08	99136.48		-3.4		251.8222702
					4.1	99115.78		-3.4		253.4808191
					4.12	99109.75		-3.4		253.9640392
					4.14	99086.44		-3.4		255.8323383
					4.16	99077.79		-3.4		256.5257699
					4.18	99065.73		-3.4		257.4926861
					4.21	99040.69		-3.4		259.5007275
					4.23	99038.09		-3.4		259.7092648
					4.26	99013.94		-3.4		261.6465671
					4.28	99001.84		-3.4		262.6174353
					4.3	98986.31		-3.4		263.8637234
					4.32	98971.69		-3.4		265.0371964
					4.34	98955.24		-3.5		266.2590585
					4.36	98942.3		-3.5		267.2976789
					4.38	98929.35		-3.5		268.3372639
					4.4	98910.38		-3.5		269.8604079
					4.42	98900.87		-3.5		270.624118
					4.44	98887.92		-3.5		271.6642214
					4.47	98871.53		-3.5		272.9808472
					4.49	98866.3		-3.5		273.4010333
					4.51	98846.5		-3.5		274.9920346
					4.53	98836.14		-3.5		275.8246492
					4.55	98820.61		-3.5		277.0729618
					4.57	98799.05		-3.5		278.8063574
					4.59	98797.3		-3.5		278.9470749
					4.61	98786.03		-3.5		279.8533663
					4.63	98778.33		-3.5		280.4726424
					4.65	98763.64		-3.5		281.654252
					4.67	98745.52		-3.5		283.1120462
					4.7	98728.25		-3.5		284.5017525
					4.72	98714.45		-3.5		285.612438
					4.74	98706.69		-3.5		286.2370785
					4.76	98692		-3.5		287.4197089
					4.79	98682.53		-3.5		288.18221
					4.81	98664.41		-3.5		289.6414307
					4.83	98651.4		-3.5		290.6893349
					4.85	98640.22		-3.5		291.5899713
					4.87	98622.09		-3.5		293.0507428
					4.89	98618.66		-3.5		293.327141
					4.91	98600.53		-3.5		294.7882926
					4.93	98586.67		-3.5		295.9055277
					4.95	98577.23		-3.5		296.6665799
					4.97	98565.96		-3.5		297.5752801
					4.99	98547.02		-3.5		299.1026911
					5.02	98527.97		-3.5		300.6393255
					5.04	98515.1		-3.5		301.6776614
					5.06	98509		-3.5		302.1698583
					5.08	98499.56		-3.5		302.9316248
					5.1	98484.03		-3.5		304.1850165
					5.12	98481.45		-3.5		304.3932653
