flight time	altitude		dt	dh	vertical velocity	average 25	average 50	average 100
0.1	9.93							
0.12	8.08		0.02	-1.85	-92.5			
0.14	10.64		0.02	2.56	128			
0.16	9.14		0.02	-1.5	-75			
0.19	8.57		0.03	-0.57	-19			
0.21	7.79		0.02	-0.78	-39			
0.23	8.72		0.02	0.93	46.5			
0.26	7.01		0.03	-1.71	-57			
0.28	8.72		0.02	1.71	85.5			
0.3	8.79		0.02	0.07	3.5			
0.32	9.14		0.02	0.35	17.5			
0.34	8.29		0.02	-0.85	-42.5			
0.36	10.43		0.02	2.14	107			
0.38	9.14		0.02	-1.29	-64.5			
0.4	9.79		0.02	0.65	32.5			
0.42	10.43		0.02	0.64	32			
0.44	10.79		0.02	0.36	18			
0.47	11.28		0.03	0.49	16.33333333			
0.49	13.07		0.02	1.79	89.5			
0.51	12.71		0.02	-0.36	-18			
0.53	13.85		0.02	1.14	57			
0.55	14.35		0.02	0.5	25			
0.57	14		0.02	-0.35	-17.5			
0.59	14.92		0.02	0.92	46			
0.61	15.64		0.02	0.72	36			
0.63	15.71		0.02	0.07	3.5	12.75333333		
0.65	16.42		0.02	0.71	35.5	17.87333333		
0.68	17.57		0.03	1.15	38.33333333	14.28666667		
0.7	18.92		0.02	1.35	67.5	19.98666667		
0.72	19.14		0.02	0.22	11	21.18666667		
0.75	19.42		0.03	0.28	9.333333333	23.12		
0.77	20.71		0.02	1.29	64.5	23.84		
0.79	22.21		0.02	1.5	75	29.12		
0.81	21.56		0.02	-0.65	-32.5	24.4		
0.83	22.85		0.02	1.29	64.5	26.84		
0.85	24.06		0.02	1.21	60.5	28.56		
0.87	24.71		0.02	0.65	32.5	31.56		
0.89	26.28		0.02	1.57	78.5	30.42		
0.91	26.21		0.02	-0.07	-3.5	32.86		
0.93	28.49		0.02	2.28	114	36.12		
0.95	28.78		0.02	0.29	14.5	35.42		
0.98	30.85		0.03	2.07	69	37.46		
1	31.71		0.02	0.86	43	38.52666667		
1.02	32.85		0.02	1.14	57	37.22666667		
1.04	34.57		0.02	1.72	86	41.38666667		
1.06	35.5		0.02	0.93	46.5	40.96666667		
1.08	36.43		0.02	0.93	46.5	41.82666667		
1.1	38.43		0.02	2	100	46.52666667		
1.12	38.86		0.02	0.43	21.5	45.54666667		
1.14	41.15		0.02	2.29	114.5	48.68666667		
1.16	41.43		0.02	0.28	14	49.10666667	30.93	
1.19	42.94		0.03	1.51	50.33333333	49.7	33.78666667	
1.21	45.66		0.02	2.72	136	53.60666667	33.94666667	
1.23	46.3		0.02	0.64	32	52.18666667	36.08666667	
1.25	46.94		0.02	0.64	32	53.02666667	37.10666667	
1.28	48.52		0.03	1.58	52.66666667	54.76	38.94	
1.3	48.73		0.02	0.21	10.5	52.6	38.22	
1.32	50.16		0.02	1.43	71.5	52.46	40.79	
1.34	52.6		0.02	2.44	122	58.64	41.52	
1.36	53.6		0.02	1	50	58.06	42.45	
1.38	54.89		0.02	1.29	64.5	58.22	43.39	
1.4	54.96		0.02	0.07	3.5	57.06	44.31	
1.42	55.39		0.02	0.43	21.5	54.78	42.6	
1.45	57.33		0.03	1.94	64.66666667	57.50666667	45.18333333	
1.47	58.4		0.02	1.07	53.5	55.08666667	45.60333333	
1.49	59.62		0.02	1.22	61	56.94666667	46.18333333	
1.51	60.48		0.02	0.86	43	55.90666667	46.68333333	
1.53	61.34		0.02	0.86	43	55.90666667	47.21666667	
1.55	64.64		0.02	3.3	165	60.22666667	48.72666667	
1.57	64.42		0.02	-0.22	-11	56.34666667	48.86666667	
1.59	67.22		0.02	2.8	140	60.08666667	50.52666667	
1.61	69.16		0.02	1.94	97	62.10666667	51.96666667	
1.63	71.52		0.02	2.36	118	62.82666667	54.67666667	
1.65	73.24		0.02	1.72	86	65.40666667	55.47666667	
1.67	75.04		0.02	1.8	90	64.42666667	56.55666667	
1.7	78.55		0.03	3.51	117	68.54666667	58.82666667	
1.72	78.84		0.02	0.29	14.5	67.11333333	58.40666667	
1.75	81.35		0.03	2.51	83.66666667	65.02	59.31333333	
1.77	82.86		0.02	1.51	75.5	66.76	59.47333333	
1.79	84.01		0.02	1.15	57.5	67.78	60.40333333	
1.81	86.88		0.02	2.87	143.5	71.41333333	63.08666667	
1.83	89.33		0.02	2.45	122.5	75.89333333	64.24666667	
1.85	89.76		0.02	0.43	21.5	73.89333333	63.17666667	
1.87	91.48		0.02	1.72	86	72.45333333	65.54666667	
1.89	93.93		0.02	2.45	122.5	75.35333333	66.70666667	
1.91	95.65		0.02	1.72	86	76.21333333	67.21666667	
1.93	98.67		0.02	3.02	151	82.11333333	69.58666667	
1.96	99.68		0.03	1.01	33.66666667	82.6	68.69	
1.98	102.27		0.02	2.59	129.5	85.19333333	71.35	
2	102.56		0.02	0.29	14.5	83.63333333	69.36	
2.02	105.94		0.02	3.38	169	87.95333333	72.45	
2.04	107.59		0.02	1.65	82.5	89.53333333	72.72	
2.06	109.47		0.02	1.88	94	91.57333333	73.74	
2.08	109.83		0.02	0.36	18	85.69333333	72.96	
2.1	111.41		0.02	1.58	79	89.29333333	72.82	
2.12	112.49		0.02	1.08	54	85.85333333	72.97	
2.14	114.8		0.02	2.31	115.5	86.59333333	74.35	
2.16	115.73		0.02	0.93	46.5	83.73333333	73.28	
2.19	117.68		0.03	1.95	65	82.89333333	74.15	
2.21	120.85		0.02	3.17	158.5	85.63333333	75.03	
2.23	121.79		0.02	0.94	47	82.83333333	75.69	53.31
2.26	125.82		0.03	4.03	134.3333333	87.62666667	77.37	55.57833333
2.28	125.39		0.02	-0.43	-21.5	83.42	74.22	54.08333333
2.3	127.34		0.02	1.95	97.5	84.3	75.53	55.80833333
2.32	129.07		0.02	1.73	86.5	85.46	76.62	56.86333333
2.34	131.88		0.02	2.81	140.5	85.34	78.37666667	58.65833333
2.36	132.82		0.02	0.94	47	82.32	79.10666667	58.66333333
2.38	135.78		0.02	2.96	148	87.38	80.63666667	60.71333333
2.4	136.07		0.02	0.29	14.5	84.52	78.48666667	60.00333333
2.42	138.45		0.02	2.38	119	84.38	79.86666667	61.15833333
2.45	140.47		0.03	2.02	67.33333333	83.63333333	79.92333333	61.65666667
2.47	142.64		0.02	2.17	108.5	81.93333333	82.02333333	63.16666667
2.49	143.94		0.02	1.3	65	83.18666667	82.89333333	62.74666667
2.51	146.61		0.02	2.67	133.5	83.34666667	84.27	64.72666667
2.53	147.04		0.02	0.43	21.5	83.62666667	83.63	64.61666667
2.55	150.22		0.02	3.18	159	83.22666667	85.59	65.88666667
2.57	151.31		0.02	1.09	54.5	82.10666667	85.82	66.25166667
2.59	153.19		0.02	1.88	94	82.10666667	86.84	67.02833333
2.61	154.12		0.02	0.93	46.5	83.24666667	84.47	66.59833333
2.63	156.58		0.02	2.46	123	85.00666667	87.15	68.00833333
2.66	157.6		0.03	1.02	34	84.20666667	85.03	67.77833333
2.68	161		0.02	3.4	170	86.38666667	86.49	69.22833333
2.7	162.95		0.02	1.95	97.5	88.42666667	86.08	70.37833333
2.72	164.32		0.02	1.37	68.5	88.56666667	85.73	70.60333333
2.75	166.13		0.03	1.81	60.33333333	84.64	85.13666667	70.84666667
2.77	167		0.02	0.87	43.5	84.5	83.66666667	71.24666667
2.79	168.81		0.02	1.81	90.5	82.74666667	85.18666667	71.79666667
2.81	170.77		0.02	1.96	98	87.52666667	85.47333333	72.39333333
2.83	172.36		0.02	1.59	79.5	86.80666667	85.55333333	72.51333333
2.85	173.59		0.02	1.23	61.5	85.80666667	85.63333333	73.01833333
2.87	175.33		0.02	1.74	87	83.66666667	84.50333333	73.795
