flightTime,flightMode,stateShiranui3,stateBuzzer,pressure,temperature,altitude,descentCount,accelerationX,accelerationY,accelerationZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,voltage33,voltage5,voltage12
0.10,1,0,0,102109.23,20.49,9.93,0,-0.57,0.86,6.68,1.10,0.61,-16.16,95.47,-4.42,20.06,3.30,4.86,12.15
0.12,1,0,0,102131.72,20.50,8.08,0,-0.11,0.48,7.18,-0.12,7.50,-7.74,95.43,-4.29,19.96,3.30,4.86,12.13
0.14,1,0,0,102100.63,20.50,10.64,0,-1.09,0.57,7.10,9.33,7.07,0.85,95.47,-4.15,19.96,3.29,4.87,12.17
0.16,1,0,0,102118.77,20.50,9.14,0,-0.43,0.76,8.25,3.29,-2.07,0.67,95.47,-4.13,19.90,3.30,4.87,12.17
0.19,1,0,0,102125.67,20.51,8.57,0,0.04,-0.54,8.17,-2.62,-9.51,2.20,95.47,-4.21,19.77,3.30,4.87,12.17
0.21,1,0,1,102135.16,20.51,7.79,1,-0.37,0.33,7.51,7.62,-6.65,6.10,95.51,-4.25,19.74,3.30,4.87,12.15
0.23,1,0,1,102123.95,20.50,8.72,0,-0.73,0.19,7.01,13.23,11.65,23.84,95.78,-4.17,19.76,3.30,4.87,12.20
0.26,1,0,1,102144.67,20.50,7.01,1,-0.45,0.64,7.27,23.54,4.45,38.78,96.17,-4.21,19.87,3.30,4.88,12.12
0.28,1,0,1,102123.95,20.50,8.72,0,-1.07,-0.10,5.92,-14.33,32.20,39.21,96.66,-3.98,19.60,3.30,4.87,12.18
0.30,1,0,1,102123.06,20.50,8.79,0,-2.42,0.53,7.19,31.65,-5.30,40.73,97.03,-4.07,19.83,3.30,4.86,12.15
0.32,1,0,1,102118.77,20.50,9.14,0,0.01,1.70,7.23,-2.80,1.16,34.21,97.36,-4.12,19.69,3.30,4.86,12.18
0.34,1,0,1,102129.13,20.50,8.29,1,0.75,1.28,7.98,-12.87,14.02,10.67,97.52,-4.04,19.44,3.30,4.86,12.18
0.36,1,0,1,102103.22,20.50,10.43,0,-0.38,-0.14,8.44,3.17,8.72,4.02,97.59,-3.94,19.36,3.30,4.85,12.18
0.38,1,0,1,102118.77,20.50,9.14,0,-0.97,0.09,8.39,10.61,-2.07,9.45,97.68,-3.93,19.37,3.30,4.87,12.17
0.40,1,0,1,102110.99,20.50,9.79,0,-1.05,0.52,7.37,-9.27,1.83,0.79,97.70,-3.85,19.19,3.30,4.87,12.15
